x,y
0,4.35E-04
0.0517,4.41E-04
0.10339,4.59E-04
0.15509,4.88E-04
0.20679,5.30E-04
0.25848,5.83E-04
0.31018,6.47E-04
0.36188,7.22E-04
0.41357,8.07E-04
0.46527,9.02E-04
0.51697,0.00101
0.56866,0.00112
0.62036,0.00124
0.67206,0.00138
0.72375,0.00152
0.77545,0.00167
0.82715,0.00183
0.87884,0.00199
0.93054,0.00217
0.98224,0.00235
1.03393,0.00255
1.08563,0.00276
1.13733,0.00297
1.18902,0.0032
1.24072,0.00344
1.29242,0.0037
1.34411,0.00397
1.39581,0.00425
1.44751,0.00455
1.4992,0.00487
1.5509,0.00521
1.6026,0.00557
1.65429,0.00595
1.70599,0.00636
1.75769,0.0068
1.80938,0.00727
1.86108,0.00779
1.91278,0.00835
1.96447,0.00897
2.01617,0.00965
2.06787,0.01041
2.11956,0.01127
2.17126,0.01224
2.22296,0.01335
2.27465,0.01463
2.32635,0.01611
2.37805,0.01784
2.42974,0.01986
2.48144,0.02223
2.53314,0.02501
2.58483,0.02828
2.63653,0.0321
2.68823,0.03657
2.73992,0.04177
2.79162,0.04779
2.84332,0.05471
2.89501,0.06263
2.94671,0.07162
2.99841,0.08177
3.0501,0.09314
3.1018,0.10579
3.1535,0.11978
3.20519,0.13513
3.25689,0.15187
3.30859,0.17
3.36028,0.1895
3.41198,0.21034
3.46368,0.23246
3.51537,0.25576
3.56707,0.28012
3.61877,0.3054
3.67046,0.33142
3.72216,0.35797
3.77386,0.38482
3.82555,0.41173
3.87725,0.43845
3.92895,0.46474
3.98064,0.49035
4.03234,0.51508
4.08404,0.53873
4.13573,0.56115
4.18743,0.58222
4.23913,0.60185
4.29082,0.61997
4.34252,0.63655
4.39422,0.65158
4.44591,0.66508
4.49761,0.67707
4.5493,0.68761
4.601,0.6968
4.6527,0.70476
4.70439,0.71165
4.75609,0.71771
4.80779,0.72322
4.85948,0.7285
4.91118,0.73395
4.96288,0.74
5.01457,0.74713
5.06627,0.75581
5.11797,0.76651
5.16966,0.77968
5.22136,0.79568
5.27306,0.81485
5.32475,0.83738
5.37645,0.86338
5.42815,0.89283
5.47984,0.92559
5.53154,0.96137
5.58324,0.99976
5.63493,1.04022
5.68663,1.08212
5.73833,1.12471
5.79002,1.16718
5.84172,1.2087
5.89342,1.24838
5.94511,1.2854
5.99681,1.31897
6.04851,1.34841
6.1002,1.37317
6.1519,1.39288
6.2036,1.40734
6.25529,1.41658
6.30699,1.42084
6.35869,1.42056
6.41038,1.4164
6.46208,1.40916
6.51378,1.3998
6.56547,1.38936
6.61717,1.37888
6.66887,1.36941
6.72056,1.36191
6.77226,1.35719
6.82396,1.35591
6.87565,1.35847
6.92735,1.36506
6.97905,1.3756
7.03074,1.38975
7.08244,1.40693
7.13414,1.42636
7.18583,1.44707
7.23753,1.46798
7.28923,1.48794
7.34092,1.5058
7.39262,1.52047
7.44432,1.53095
7.49601,1.53643
7.54771,1.53631
7.59941,1.5302
7.6511,1.51801
7.7028,1.49988
