x,y
0,5.04E-05
0.0517,5.52E-05
0.10339,6.98E-05
0.15509,9.40E-05
0.20679,1.28E-04
0.25848,1.71E-04
0.31018,2.23E-04
0.36188,2.85E-04
0.41357,3.55E-04
0.46527,4.34E-04
0.51697,5.22E-04
0.56866,6.17E-04
0.62036,7.21E-04
0.67206,8.33E-04
0.72375,9.53E-04
0.77545,0.00108
0.82715,0.00122
0.87884,0.00136
0.93054,0.00151
0.98224,0.00167
1.03393,0.00184
1.08563,0.00202
1.13733,0.00221
1.18902,0.00242
1.24072,0.00263
1.29242,0.00286
1.34411,0.0031
1.39581,0.00335
1.44751,0.00363
1.4992,0.00392
1.5509,0.00423
1.6026,0.00456
1.65429,0.00492
1.70599,0.0053
1.75769,0.00572
1.80938,0.00617
1.86108,0.00666
1.91278,0.0072
1.96447,0.00779
2.01617,0.00846
2.06787,0.00921
2.11956,0.01007
2.17126,0.01107
2.22296,0.01224
2.27465,0.01361
2.32635,0.01524
2.37805,0.01718
2.42974,0.01949
2.48144,0.02222
2.53314,0.02545
2.58483,0.02923
2.63653,0.03361
2.68823,0.03862
2.73992,0.04429
2.79162,0.05062
2.84332,0.05757
2.89501,0.06509
2.94671,0.07311
2.99841,0.08151
3.0501,0.09017
3.1018,0.09897
3.1535,0.10778
3.20519,0.1165
3.25689,0.12503
3.30859,0.13334
3.36028,0.14143
3.41198,0.14936
3.46368,0.15724
3.51537,0.16526
3.56707,0.17361
3.61877,0.18254
3.67046,0.1923
3.72216,0.20316
3.77386,0.21533
3.82555,0.22901
3.87725,0.24432
3.92895,0.26133
3.98064,0.28001
4.03234,0.30028
4.08404,0.32198
4.13573,0.3449
4.18743,0.36876
4.23913,0.3933
4.29082,0.41821
4.34252,0.44322
4.39422,0.46808
4.44591,0.49259
4.49761,0.5166
4.5493,0.54002
4.601,0.5628
4.6527,0.58498
4.70439,0.60662
4.75609,0.62782
4.80779,0.64873
4.85948,0.66948
4.91118,0.69024
4.96288,0.71117
5.01457,0.73242
5.06627,0.75411
5.11797,0.77636
5.16966,0.79924
5.22136,0.8228
5.27306,0.84704
5.32475,0.8719
5.37645,0.89729
5.42815,0.92304
5.47984,0.94891
5.53154,0.97463
5.58324,0.99982
5.63493,1.02408
5.68663,1.04695
5.73833,1.06795
5.79002,1.08657
5.84172,1.10233
5.89342,1.11478
5.94511,1.12353
5.99681,1.12828
6.04851,1.12885
6.1002,1.12519
6.1519,1.1174
6.2036,1.10574
6.25529,1.09063
6.30699,1.07265
6.35869,1.05251
6.41038,1.03101
6.46208,1.00903
6.51378,0.98751
6.56547,0.96733
6.61717,0.94932
6.66887,0.93423
6.72056,0.92264
6.77226,0.91493
6.82396,0.91133
6.87565,0.9118
6.92735,0.91611
6.97905,0.92384
7.03074,0.93438
7.08244,0.94698
7.13414,0.96082
7.18583,0.97502
7.23753,0.98869
7.28923,1.00103
7.34092,1.01131
7.39262,1.01894
7.44432,1.02351
7.49601,1.02474
7.54771,1.02256
7.59941,1.01702
7.6511,1.00834
7.7028,0.99684
7.7545,0.98291
7.80619,0.96698
7.85789,0.9495
7.90959,0.9309
7.96128,0.91158
8.01298,0.89189
8.06468,0.87213
8.11637,0.85255
8.16807,0.83335
8.21977,0.81473
8.27146,0.79685
8.32316,0.77985
8.37486,0.76391
8.42655,0.74916
8.47825,0.73577
8.52995,0.72388
8.58164,0.71363
8.63334,0.70511
8.68504,0.69839
8.73673,0.69348
8.78843,0.69033
8.84013,0.68887
8.89182,0.68895
8.94352,0.69042
8.99522,0.69308
9.04691,0.69675
9.09861,0.70126
9.15031,0.70648
9.202,0.7123
9.2537,0.71868
9.3054,0.72562
9.35709,0.73314
9.40879,0.74131
9.46049,0.7502
9.51218,0.75985
9.56388,0.77028
9.61558,0.78147
9.66727,0.79331
9.71897,0.80565
9.77067,0.81824
9.82236,0.83079
9.87406,0.84293
9.92576,0.85428
9.97745,0.86443
10.02915,0.87297
10.08085,0.87952
10.13254,0.88375
10.18424,0.88538
10.23594,0.88422
10.28763,0.88014
10.33933,0.87309
10.39103,0.86312
10.44272,0.85033
10.49442,0.8349
10.54612,0.81707
10.59781,0.79713
10.64951,0.77541
10.70121,0.75225
10.7529,0.72803
10.8046,0.70312
10.8563,0.67791
10.90799,0.65276
10.95969,0.62801
11.01139,0.60396
11.06308,0.58091
11.11478,0.55909
11.16648,0.53869
11.21817,0.51985
11.26987,0.50267
11.32157,0.48721
11.37326,0.47348
11.42496,0.46146
11.47666,0.45109
11.52835,0.44228
11.58005,0.43495
11.63175,0.42897
11.68344,0.42421
11.73514,0.42054
11.78684,0.41781
11.83853,0.41588
11.89023,0.4146
11.94193,0.41383
11.99362,0.41343
12.04532,0.41326
12.09702,0.4132
12.14871,0.41315
12.20041,0.41302
