x,y,yerr
0.4,5.17E-04,3.27E-06
0.8,0.00108,8.58E-06
1.2,0.00168,1.44E-05
1.6,0.00231,1.97E-05
2,0.00294,2.43E-05
2.4,0.00353,2.84E-05
2.8,0.00409,3.15E-05
3.2,0.00462,3.45E-05
3.6,0.00518,3.73E-05
4,0.00577,3.96E-05
4.4,0.00638,4.24E-05
4.8,0.00716,4.44E-05
5.2,0.00819,4.69E-05
5.6,0.00928,5.02E-05
6,0.00989,5.25E-05
6.4,0.00997,5.33E-05
6.8,0.00991,5.46E-05
7.2,0.01005,5.72E-05
7.6,0.01028,5.85E-05
8,0.01028,5.99E-05
8.4,0.01007,6.05E-05
8.8,0.01005,6.04E-05
9.2,0.01026,6.42E-05
9.6,0.01058,6.53E-05
10,0.01066,6.54E-05
10.4,0.01054,6.83E-05
10.8,0.01036,6.98E-05
11.2,0.01019,6.94E-05
11.6,0.01007,6.87E-05
12,0.01004,7.08E-05
12.4,0.01005,7.32E-05
12.8,0.01021,7.27E-05
13.2,0.01041,7.52E-05
13.6,0.01077,7.85E-05
14,0.01125,8.15E-05
14.4,0.01186,8.41E-05
14.8,0.01255,8.81E-05
15.2,0.01315,9.75E-05
15.6,0.01359,1.01E-04
16,0.01371,1.04E-04
16.4,0.01365,1.08E-04
16.8,0.01344,1.10E-04
17.2,0.01331,1.17E-04
17.6,0.01318,1.16E-04
18,0.01293,1.17E-04
18.4,0.01265,1.19E-04
18.8,0.01227,1.23E-04
19.2,0.01183,1.24E-04
19.6,0.01135,1.24E-04
20,0.01086,1.21E-04
20.4,0.01061,1.19E-04
20.8,0.01044,1.20E-04
21.2,0.01023,1.28E-04
21.6,0.00999,1.25E-04
22,0.00972,1.12E-04
22.4,0.00961,1.18E-04
22.8,0.00945,1.15E-04
23.2,0.00931,1.07E-04
23.6,0.00919,1.07E-04
24,0.00909,1.05E-04
24.4,0.00903,1.03E-04
24.8,0.00886,1.04E-04
25.2,0.00874,1.00E-04
25.6,0.00862,1.05E-04
26,0.00864,1.06E-04
26.4,0.00854,9.54E-05
26.8,0.00845,1.03E-04
27.2,0.00829,1.05E-04
27.6,0.00829,9.44E-05
28,0.00818,9.23E-05
28.4,0.0082,1.01E-04
28.8,0.00818,1.10E-04
29.2,0.00824,1.03E-04
29.6,0.00823,9.41E-05
30,0.0082,9.05E-05
30.4,0.00806,9.10E-05
30.8,0.00789,9.40E-05
31.2,0.00777,9.85E-05
31.6,0.00773,1.02E-04
32,0.00768,1.07E-04
