x,y,yerr
0.4,4.38E-04,1.97E-05
0.8,5.39E-04,5.38E-05
1.2,9.18E-04,8.88E-05
1.6,0.00152,1.28E-04
2,0.00251,1.59E-04
2.4,0.00353,1.85E-04
2.8,0.0045,2.12E-04
3.2,0.0053,2.26E-04
3.6,0.00592,2.43E-04
4,0.00665,2.66E-04
4.4,0.00746,2.75E-04
4.8,0.00841,2.97E-04
5.2,0.00986,3.08E-04
5.6,0.01122,3.25E-04
6,0.01267,3.46E-04
6.4,0.01287,3.51E-04
6.8,0.01295,3.53E-04
7.2,0.01278,3.63E-04
7.6,0.013,3.69E-04
8,0.01337,3.84E-04
8.4,0.01308,3.94E-04
8.8,0.01316,4.03E-04
9.2,0.01317,4.11E-04
9.6,0.01372,4.24E-04
10,0.01389,4.29E-04
10.4,0.01389,4.27E-04
10.8,0.01359,4.34E-04
11.2,0.01292,4.46E-04
11.6,0.01213,4.61E-04
12,0.01132,4.69E-04
12.4,0.01111,4.75E-04
12.8,0.01068,4.97E-04
13.2,0.01072,4.95E-04
13.6,0.0104,5.08E-04
14,0.01063,5.23E-04
14.4,0.01094,5.50E-04
14.8,0.01132,5.92E-04
15.2,0.01085,6.08E-04
15.6,0.01054,6.44E-04
16,0.01079,6.85E-04
16.4,0.01144,7.45E-04
16.8,0.01174,7.73E-04
17.2,0.01149,7.92E-04
17.6,0.01059,8.81E-04
18,0.00932,9.24E-04
18.4,0.00787,9.21E-04
18.8,0.00675,9.26E-04
19.2,0.00658,9.28E-04
19.6,0.00571,9.63E-04
20,0.00485,9.84E-04
20.4,0.00349,0.00107
20.8,0.00404,0.00104
21.2,0.00471,9.55E-04
21.6,0.00517,9.44E-04
22,0.00511,0.00101
22.4,0.00481,9.81E-04
22.8,0.00488,9.13E-04
23.2,0.00521,9.39E-04
23.6,0.00583,9.17E-04
24,0.00646,9.07E-04
24.4,0.00604,9.04E-04
24.8,0.00659,8.44E-04
25.2,0.00675,9.12E-04
25.6,0.0067,8.47E-04
26,0.00646,8.48E-04
26.4,0.00682,9.10E-04
26.8,0.00724,8.29E-04
27.2,0.007,8.36E-04
27.6,0.00653,9.31E-04
28,0.00669,9.09E-04
28.4,0.00682,8.17E-04
28.8,0.00653,8.17E-04
29.2,0.0069,8.82E-04
29.6,0.00699,9.80E-04
30,0.00709,0.00103
30.4,0.00607,9.45E-04
30.8,0.00499,9.08E-04
31.2,0.0043,8.84E-04
31.6,0.00393,8.63E-04
32,0.0042,8.38E-04
32.5153,0.0043,8.88E-04
33.0305,0.0036,0.00104
33.44,0.00367,0.00119
33.8563,0.00347,0.00117
34.2797,0.00484,0.00119
34.7103,0.00471,0.00118
35.1482,0.00536,0.00118
35.5937,0.00497,0.00115
36.0468,0.00564,0.00114
36.5079,0.00486,0.00112
36.977,0.00556,0.00112
37.4544,0.00569,0.00108
37.9402,0.00649,0.00107
38.4346,0.00649,0.00108
38.938,0.0067,0.00103
39.4504,0.00696,0.00106
39.972,0.00705,0.00101
40.5032,0.00745,0.00101
41.0441,0.00755,9.71E-04
41.595,0.00725,9.99E-04
42.1562,0.00716,0.00101
42.7278,0.00725,0.00101
43.3102,0.00764,9.72E-04
43.9036,0.0077,9.84E-04
44.5083,0.00774,9.94E-04
45.1246,0.00859,9.93E-04
45.7528,0.009,0.00101
46.3932,0.00961,0.001
47.0461,0.00995,0.00104
47.7118,0.01014,0.00102
48.3907,0.01011,0.00105
49.0832,0.00984,0.00105
49.7896,0.00979,0.00107
50.5102,0.01014,0.00106
51.2454,0.01013,0.00108
51.9958,0.01054,0.0011
52.7615,0.01066,0.0011
53.5433,0.01087,0.00112
54.3413,0.01041,0.00113
55.1561,0.01015,0.00114
55.9882,0.01047,0.00116
56.8381,0.01102,0.00122
57.7062,0.01177,0.0012
58.5932,0.01083,0.00121
59.4995,0.00894,0.00127
